"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Pnt_Abng" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 160 77 56 9.7 12.5 7.3 16 "10" 27 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 62 42 6.7 8.7 6 12 "8" 18.3 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 65 46 6.5 8.5 6.5 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 62 38.5 6.5 8 6 12.5 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 64 NA 7 9.5 6.3 12.5 "8" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 110 63 42 6.7 9 7.3 13.3 "9" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 110 64 46 7 8.5 7 14 "9" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 63 41 6.5 9 6.7 13 "9" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 105 63 41 6.7 8.7 6 12 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 65 48 7 8.3 6.7 13.5 "8.5" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 111 63 38 7 10 6.5 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 65 40 7 9.5 6.5 13.5 "8.3" 19 NA
